,Time,Mkt-RF,SMB,HML,RMW,CMA,RF
150,197601,12.16,6.34,8.63,-1.79,2.28,0.47
151,197602,0.32,7.99,5.87,-2.64,3.87,0.34
152,197603,2.32,-1.38,-0.12,-0.33,0.96,0.4
153,197604,-1.49,0.08,-0.16,0.4,-1.1,0.42
154,197605,-1.34,-1.1,-1.36,2.46,-1.41,0.37
155,197606,4.05,-1.07,0.71,-0.68,1.02,0.43
156,197607,-1.07,0.63,1.73,-1.05,0.28,0.47
157,197608,-0.56,-1.98,0.81,-0.42,-0.55,0.42
158,197609,2.07,0.1,-0.29,0.98,-1.15,0.44
159,197610,-2.42,0.13,-0.18,-0.19,-0.37,0.41
160,197611,0.36,2.66,1.51,-1.41,0.09,0.4
161,197612,5.65,3.64,2.27,-0.61,2.28,0.4
162,197701,-4.05,5.9,4.27,-0.51,1.97,0.36
163,197702,-1.94,1.07,0.47,-0.16,-0.22,0.35
164,197703,-1.37,1.31,1.09,-0.3,-0.06,0.38
165,197704,0.15,0.61,3.38,-2.01,1.14,0.38
166,197705,-1.45,1.31,0.85,0.33,0.19,0.37
167,197706,4.71,2.08,-0.74,0.91,-1.2,0.4
168,197707,-1.69,1.88,-0.56,0.73,0.09,0.42
169,197708,-1.75,0.86,-2.7,0.98,-0.66,0.44
170,197709,-0.27,1.43,-0.52,1.43,-0.84,0.43
171,197710,-4.38,1.48,1.75,-0.2,-0.3,0.49
172,197711,4.0,3.64,0.26,-0.13,0.73,0.5
173,197712,0.27,1.59,-0.29,0.92,-0.69,0.49
174,197801,-6.01,2.72,3.36,-1.72,1.52,0.49
175,197802,-1.38,3.7,0.83,0.3,1.01,0.46
176,197803,2.85,3.71,1.18,-0.59,1.89,0.53
177,197804,7.88,-0.26,-3.54,2.81,-1.26,0.54
178,197805,1.76,4.58,-0.52,0.22,0.41,0.51
179,197806,-1.69,1.56,0.57,-1.4,-0.07,0.54
180,197807,5.11,0.12,-1.15,1.55,-0.78,0.56
181,197808,3.75,4.95,-0.51,1.43,0.46,0.56
182,197809,-1.43,-0.32,1.89,-0.67,1.78,0.62
183,197810,-11.91,-10.02,1.38,0.12,0.94,0.68
184,197811,2.71,2.81,-2.15,1.13,-1.17,0.7
185,197812,0.88,1.13,-2.13,2.01,-1.32,0.78
186,197901,4.23,3.78,2.19,-2.47,1.52,0.77
187,197902,-3.56,0.54,1.17,-1.12,0.94,0.73
188,197903,5.68,3.24,-0.71,0.53,0.32,0.81
189,197904,-0.06,2.37,1.12,1.08,0.17,0.8
190,197905,-2.21,0.18,1.31,-1.54,-0.27,0.82
191,197906,3.85,1.0,1.44,-1.66,-0.52,0.81
192,197907,0.82,1.27,1.86,-0.29,0.71,0.77
193,197908,5.53,1.92,-1.58,1.62,-1.48,0.77
194,197909,-0.82,-0.32,-0.9,1.01,0.32,0.83
195,197910,-8.1,-3.5,-1.84,1.01,0.07,0.87
196,197911,5.21,2.53,-3.29,0.06,-2.12,0.99
197,197912,1.79,4.32,-2.1,-0.7,-0.92,0.95
198,198001,5.51,1.83,1.75,-1.7,1.64,0.8
199,198002,-1.22,-1.57,0.61,0.04,2.68,0.89
200,198003,-12.9,-6.93,-1.01,1.46,-1.19,1.21
201,198004,3.97,1.05,1.06,-2.1,0.29,1.26
202,198005,5.26,2.11,0.38,0.34,-0.31,0.81
203,198006,3.06,1.41,-0.76,-0.15,-1.26,0.61
204,198007,6.49,3.82,-6.41,4.06,-2.43,0.53
205,198008,1.8,4.25,-2.6,2.06,-0.86,0.64
206,198009,2.19,0.67,-4.59,1.91,-2.76,0.75
207,198010,1.06,2.33,-2.76,1.65,-1.15,0.95
208,198011,9.59,-3.31,-8.33,4.5,-5.66,0.96
209,198012,-4.52,-0.29,2.79,-1.29,1.24,1.31
210,198101,-5.04,3.29,6.72,-3.51,4.33,1.04
211,198102,0.57,-0.5,1.02,0.21,2.22,1.07
212,198103,3.56,3.02,0.64,-2.24,-0.54,1.21
213,198104,-2.11,4.59,2.28,0.83,1.24,1.08
214,198105,0.11,2.45,-0.42,0.3,-1.53,1.15
215,198106,-2.36,-0.96,5.13,-1.37,2.66,1.35
216,198107,-1.54,-2.05,-0.5,1.26,-2.54,1.24
217,198108,-7.04,-1.81,4.76,-0.32,1.41,1.28
218,198109,-7.17,-2.45,5.17,0.08,2.63,1.24
219,198110,4.92,2.37,-4.21,3.15,-3.01,1.21
220,198111,3.36,-1.51,1.83,0.08,0.95,1.07
221,198112,-3.65,1.2,0.81,0.22,2.5,0.87
222,198201,-3.24,-1.14,3.19,-1.49,1.92,0.8
223,198202,-5.86,0.35,6.05,-3.48,4.56,0.92
224,198203,-1.87,-0.05,3.81,-1.38,2.49,0.98
225,198204,3.27,1.09,-2.7,1.57,-0.01,1.13
226,198205,-3.99,0.64,1.75,0.87,-0.3,1.06
227,198206,-3.09,-0.52,1.53,0.01,2.72,0.96
228,198207,-3.19,0.95,0.09,1.04,1.55,1.05
229,198208,11.14,-4.35,0.95,-1.89,0.09,0.76
230,198209,1.29,2.61,0.28,2.14,-0.04,0.51
231,198210,11.3,1.92,-3.66,0.29,-0.34,0.59
232,198211,4.67,4.43,-1.87,-0.97,0.27,0.63
233,198212,0.55,-0.04,-0.02,-0.01,1.02,0.67
234,198301,3.6,3.35,-0.75,-1.55,-0.58,0.69
235,198302,2.59,2.92,0.7,-0.52,1.05,0.62
236,198303,2.82,1.37,2.02,-0.17,2.74,0.63
237,198304,6.67,0.48,0.49,-0.11,1.42,0.71
238,198305,0.52,6.3,-1.4,-1.84,-1.51,0.69
239,198306,3.07,1.18,-3.9,2.6,-0.87,0.67
240,198307,-4.07,1.01,5.62,-0.14,2.81,0.74
241,198308,-0.5,-4.32,5.54,0.51,1.9,0.76
242,198309,0.91,0.3,1.01,1.24,0.5,0.76
243,198310,-3.44,-3.77,4.97,-0.77,2.96,0.76
